# Age      Mass       Teff       logL       logg       logR
4.9002e+07 4.6638e-01 2.6812e+04 1.2290e+00 5.5458e+00 -7.1952e-01
4.9032e+07 4.6638e-01 2.6812e+04 1.2290e+00 5.5458e+00 -7.1948e-01
4.9062e+07 4.6638e-01 2.6812e+04 1.2291e+00 5.5457e+00 -7.1945e-01
4.9091e+07 4.6638e-01 2.6811e+04 1.2291e+00 5.5456e+00 -7.1941e-01
4.9120e+07 4.6638e-01 2.6811e+04 1.2292e+00 5.5456e+00 -7.1937e-01
4.9149e+07 4.6638e-01 2.6811e+04 1.2293e+00 5.5455e+00 -7.1934e-01
4.9177e+07 4.6638e-01 2.6811e+04 1.2293e+00 5.5454e+00 -7.1931e-01
4.9205e+07 4.6638e-01 2.6811e+04 1.2294e+00 5.5454e+00 -7.1927e-01
4.9232e+07 4.6638e-01 2.6810e+04 1.2294e+00 5.5453e+00 -7.1924e-01
4.9259e+07 4.6638e-01 2.6810e+04 1.2295e+00 5.5452e+00 -7.1920e-01
4.9286e+07 4.6638e-01 2.6810e+04 1.2295e+00 5.5452e+00 -7.1917e-01
4.9313e+07 4.6638e-01 2.6810e+04 1.2296e+00 5.5451e+00 -7.1914e-01
4.9340e+07 4.6638e-01 2.6810e+04 1.2296e+00 5.5450e+00 -7.1911e-01
4.9366e+07 4.6638e-01 2.6809e+04 1.2297e+00 5.5450e+00 -7.1908e-01
4.9392e+07 4.6638e-01 2.6809e+04 1.2297e+00 5.5449e+00 -7.1905e-01
4.9418e+07 4.6638e-01 2.6809e+04 1.2298e+00 5.5448e+00 -7.1901e-01
4.9443e+07 4.6638e-01 2.6809e+04 1.2298e+00 5.5448e+00 -7.1898e-01
4.9469e+07 4.6638e-01 2.6809e+04 1.2299e+00 5.5447e+00 -7.1895e-01
4.9494e+07 4.6638e-01 2.6809e+04 1.2299e+00 5.5447e+00 -7.1892e-01
4.9518e+07 4.6638e-01 2.6808e+04 1.2300e+00 5.5446e+00 -7.1890e-01
4.9543e+07 4.6638e-01 2.6808e+04 1.2300e+00 5.5445e+00 -7.1887e-01
4.9567e+07 4.6638e-01 2.6808e+04 1.2301e+00 5.5445e+00 -7.1884e-01
4.9591e+07 4.6638e-01 2.6808e+04 1.2301e+00 5.5444e+00 -7.1881e-01
4.9615e+07 4.6638e-01 2.6808e+04 1.2302e+00 5.5444e+00 -7.1878e-01
4.9638e+07 4.6638e-01 2.6807e+04 1.2302e+00 5.5443e+00 -7.1875e-01
4.9661e+07 4.6638e-01 2.6807e+04 1.2303e+00 5.5443e+00 -7.1873e-01
4.9684e+07 4.6638e-01 2.6807e+04 1.2303e+00 5.5442e+00 -7.1870e-01
4.9707e+07 4.6638e-01 2.6807e+04 1.2303e+00 5.5442e+00 -7.1867e-01
4.9729e+07 4.6638e-01 2.6807e+04 1.2304e+00 5.5441e+00 -7.1865e-01
4.9751e+07 4.6638e-01 2.6807e+04 1.2304e+00 5.5440e+00 -7.1862e-01
4.9773e+07 4.6638e-01 2.6806e+04 1.2305e+00 5.5440e+00 -7.1859e-01
4.9795e+07 4.6638e-01 2.6806e+04 1.2305e+00 5.5439e+00 -7.1857e-01
4.9816e+07 4.6638e-01 2.6806e+04 1.2305e+00 5.5439e+00 -7.1854e-01
4.9837e+07 4.6638e-01 2.6806e+04 1.2306e+00 5.5438e+00 -7.1851e-01
4.9858e+07 4.6638e-01 2.6806e+04 1.2306e+00 5.5438e+00 -7.1849e-01
4.9879e+07 4.6638e-01 2.6806e+04 1.2307e+00 5.5437e+00 -7.1846e-01
